Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
32218,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Thursday,1,Weekday
32219,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Wednesday,1,Weekday
32220,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Monday,1,Weekday
32221,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Friday,1,Weekday
32222,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Saturday,1,Weekend
32223,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Saturday,1,Weekend
32224,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Monday,1,Weekday
32225,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Thursday,1,Weekday
32226,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Wednesday,1,Weekday
32227,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Tuesday,1,Weekday
32228,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Tuesday,1,Weekday
32229,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Wednesday,1,Weekday
32230,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Monday,1,Weekday
32231,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Wednesday,1,Weekday
32232,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Friday,1,Weekday
32233,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Thursday,1,Weekday
32234,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Wednesday,1,Weekday
32235,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Wednesday,1,Weekday
32236,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Tuesday,1,Weekday
32237,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Thursday,1,Weekday
32238,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Monday,1,Weekday
32239,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Friday,1,Weekday
32240,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Thursday,1,Weekday
32241,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Wednesday,1,Weekday
32242,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Sunday,1,Weekend
32243,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Monday,1,Weekday
32244,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Wednesday,1,Weekday
32245,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Thursday,1,Weekday
32246,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Thursday,1,Weekday
32247,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Thursday,1,Weekday
32248,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Sunday,1,Weekend
32249,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Sunday,1,Weekend
32250,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Tuesday,1,Weekday
32252,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Sunday,1,Weekend
32411,SDAH-BRPA LO,SEALDAH,BARUI PARA,Monday,1,Weekday
32412,BRPA - SDAH,BARUI PARA,SEALDAH,Wednesday,1,Weekday
32413,SDAH-BRPA  L,SEALDAH,BARUI PARA,Friday,1,Weekday
32414,BRPA-SDAH LO,BARUI PARA,SEALDAH,Sunday,1,Weekend
33061,CG - BT LOCA,CANNING,BARASAT JN.,Friday,1,Weekday
33212,DDJ - SDAH L,DUM DUM JN.,SEALDAH,Saturday,1,Weekend
33231,DDJ- BP LOCA,DUM DUM JN.,BARRACKPORE,Thursday,1,Weekday
33232,BP-DDJ LOCAL,BARRACKPORE,DUM DUM JN.,Wednesday,1,Weekday
33262,BT - DDJ LOC,BARASAT JN.,DUM DUM JN.,Saturday,1,Weekend
33271,DDJ - GBG LO,DUM DUM JN.,GOBARDANGA,Friday,1,Weekday
33282,HNB-DDJ LOCA,HASANABAD,DUM DUM JN.,Wednesday,1,Weekday
33291,DDJ-DKAE LOC,DUM DUM JN.,DANKUNI JN.,Sunday,1,Weekend
33311,BT-HNB LOCAL,BARASAT JN.,HASANABAD,Sunday,1,Weekend
33312,HNB-BT LOCAL,HASANABAD,BARASAT JN.,Monday,1,Weekday
33313,BT-HNB LOCAL,BARASAT JN.,HASANABAD,Monday,1,Weekday
33314,HNB-BT LOCAL,HASANABAD,BARASAT JN.,Thursday,1,Weekday
33315,BT-HNB LOCAL,BARASAT JN.,HASANABAD,Tuesday,1,Weekday
33316,HNB-BT LOCAL,HASANABAD,BARASAT JN.,Tuesday,1,Weekday
33317,BT - HNB LOC,BARASAT JN.,HASANABAD,Sunday,1,Weekend
33318,HNB-BT LOCAL,HASANABAD,BARASAT JN.,Sunday,1,Weekend
33319,BT - HNB LOC,BARASAT JN.,HASANABAD,Thursday,1,Weekday
